Hello / how are you	kait kia1!	善日！	Nǐ hǎo!	你好！	善日	wav_r	falira.lyjotafis
What are you saying?	mua2 zep1 nan2?	汝言何？	Nǐ shuō shénme?	你说什么？	汝.言.何	wav_r	falira.lyjotafis
What are they talking about?	zap2 ge aim2 zep1 nan2?	彼等在言何？	Tāmen zài shuō shénme?	他们在说什么？	彼等.在.言.何	wav_r	falira.lyjotafis
What did you do?	mua2 zau nan2 ta?	汝為何終？	Nǐ zuò le shénme?	你做了什么？	汝.為.何.終	wav_r	falira.lyjotafis
They can do it.	zap2 ge py zau.	彼等力為。	Tāmen huì zuò.	他们会做。	彼等.力.為	wav_r	falira.lyjotafis
I can do it.	pai2 py zau.	我力為。	Wǒ huì zuò.	我会做。	我.力.為	wav_r	falira.lyjotafis
Can you do it?	mua2 py zau yn2?	汝力為乎？	Nǐ huì zuò ma?	你会做吗？	汝.力.為.乎	wav_r	falira.lyjotafis
What do you do for work?	mua2 mok1 nan2 naip2?	汝行何労？	Nǐ zuò shénme gōngzuò?	你做什么工作？	汝.行#労.何2.行!労	wav_r	falira.lyjotafis
What does she do for work?	zap2 mok1 nan2 naip2?	彼行何労？	Tā zuò shénme gōngzuò?	她做什么工作？	彼.行#労.何2.行!労	wav_r	falira.lyjotafis
Where do you work?	mua2 ie nan2 hue naip2?	汝於何処労？	Nǐ zài nǎli gōngzuò?	你在哪里工作？	汝.於.何処.労	wav_r	falira.lyjotafis
Where are you going?	mua2 mok1 nan2 hue?	汝行何処？	Nǐ qù nǎli?	你去哪里？	汝.行.何処	wav_r	falira.lyjotafis
Where would you like to go?	mua2 hia1 mok1 nan2 hue?	汝心行何処？	Nǐ xiǎng qù nǎli?	你想去哪里？	汝.心.行.何処	wav_r	falira.lyjotafis
Where are you from?	mua2 nan2 hue cuk2?	汝何処人？	Nǐ shì nǎli rén?	你是哪里人？	汝.何処2.人	wav_r	falira.lyjotafis
Where is she from?	zap2 nan2 hue a cuk2?	彼何処之人？	Tā shì nǎli de rén?	她是哪里的人？	彼.何処.之.人	wav_r	falira.lyjotafis
Where would you like to go to eat?	mua2 hia1 mok1 nan2 hue iam1?	汝心行何処口？	Nǐ xiǎng qù nǎli chī?	你想去哪里吃？	汝.心.行.何処.口	wav_r	falira.lyjotafis
I would like to eat food.	pai2 hia1 iam1 ku.	我心口物。	Wǒ xiǎng chī fàn.	我想吃饭。	我.心.口物	wav_r	falira.lyjotafis
Does she want to eat?	zap2 hia1 iam1 ku yn2?	彼心口物乎？	Tā xiǎng chī fàn ma?	她想吃饭吗？	彼.心.口物.乎	wav_r	falira.lyjotafis
What happened?	nan2 aim2?	何在？	Zěnme le?	怎么了？	何.在2	wav_r	falira.lyjotafis
