Hello / how are you	kait kia1!	善日！	Nǐ hǎo!	你好！	善日	wav	falira.lyjotafis		こんにちは	こんにちは！	Jeemusn!
What are you saying?	mua2 zep1 nan2?	汝言何？	Nǐ shuō shénme?	你说什么？	汝.言.何	wav	falira.lyjotafis		何を言ってるんです？	何って言ったの？	Aam ehodis'm?
What are they talking about?	zap2 ge aim2 zep1 nan2?	彼等在言何？	Tāmen zài shuō shénme?	他们在说什么？	彼等.在.言.何	wav	falira.lyjotafis		あの人たちは何のことを話してるんですか？	彼らは何を話している？	Bwins bantadis'm fo?
What are you guys saying?	mua2 ge zep1 ta nan2?	汝等言終何？	Nǐmen shuō shénme?	你们说什么？	汝等.言.終.何					何を言っている？	
What did you do?	mua2 zau nan2 ta?	汝為何終？	nǐ zuò le shénme?	你做了什么？	汝.為.何.終	wav	falira.lyjotafis		何をされてたんですか？	あなたは何をしましたか？	Aam yanbadis'm?
They can do it.	zap2 ge py zau.	彼等力為。	Tāmen huì zuò.	他们会做。	彼等.力.為	wav	falira.lyjotafis		あの人たちはそれができます	彼らはやってくれるでしょう。	Bwins kyanpa yanba.
I can do it.	pai2 py zau.	我力為。	Wǒ huì zuò.	我会做。	我.力.為	wav	falira.lyjotafis		私はそれができます	私がやります。	Am kyanpa yanba.
Can you do it?	mua2 py zau yn2?	汝力為乎？	Nǐ huì zuò ma?	你会做吗？	汝.力.為.乎	wav	falira.lyjotafis		あなたはそれがお出来になりますか？	あなたはそれをします？	Aam kyanpa yanba?
What do you do for work?	mua2 mok1 nan2 naip2?	汝行何労？	Nǐ zuò shénme gōngzuò?	你做什么工作？	汝.行#労.何2.行!労	wav	falira.lyjotafis		あなたはどんな仕事をされているんですか？	あなたの仕事は何ですか？	Aam matin gyaktar yanbadis'm?
What does she do for work?	zap2 mok1 nan2 naip2?	彼行何労？	Tā zuò shénme gōngzuò?	她做什么工作？	彼.行#労.何2.行!労	wav	falira.lyjotafis		あの人はどんな仕事をされているんですか？	彼女は何をするのでしょうか？	Kas matin gyaktar yanbadis'm?
Where do you work?	mua2 ie nan2 hue naip2?	汝於何処労？	Nǐ zài nǎli gōngzuò?	你在哪里工作？	汝.於.何処.労	wav	falira.lyjotafis		どちらで働かれてるんですか？	どこで働いていますか？	Aam gyakta wee ven?
Where are you going?	mua2 mok1 nan2 hue?	汝行何処？	Nǐ qù nǎli?	你去哪里？	汝.行.何処	wav	falira.lyjotafis		どちらに行かれるんですか？	あなたが行くところ？	Aam ikaphupdis wee di?
Where are you guys going?	mua2 ge mok1 nan2 hue?	汝等行何処？	Nǐmen qù nǎlǐ?	你们去哪里？	汝等.行.何処				あなた方はどちらに行かれるんですか？	みんなどこに行くの？	
Where would you like to go?	mua2 hia1 mok1 nan2 hue?	汝心行何処？	Nǐ xiǎng qù nǎli?	你想去哪里？	汝.心.行.何処	wav	falira.lyjotafis		どちらに行かれたいのですか？	どこへ行きたい？	Aam wana ikaphupgan wee di?
Where are you from?	mua2 nan2 hue cuk2?	汝何処人？	Nǐ shì nǎli rén?	你是哪里人？	汝.何処2.人	wav	falira.lyjotafis		あなたはどこの出身ですか？	どこの出身ですか？	Aam je wee vadi?
Where is she from?	zap2 nan2 hue a cuk2?	彼何処之人？	Tā shì nǎli de rén?	她是哪里的人？	彼.何処.之.人	wav	falira.lyjotafis		あの人はどこの出身ですか？	彼女はどこの出身ですか?	Kas je wee vadi?
Where would you like to go to eat?	mua2 hia1 mok1 nan2 hue iam1?	汝心行何処口？	Nǐ xiǎng qù nǎli chī?	你想去哪里吃？	汝.心.行.何処.口	wav	falira.lyjotafis		どちらに食べに行かれるおつもりですか？	どこで食べたいですか？	Aam fi jiki wana ikaphupgan wee di?
I would like to eat food.	pai2 hia1 iam1 ku.	我心口物。	Wǒ xiǎng chī fàn.	我想吃饭。	我.心.口物	wav	falira.lyjotafis		ご飯を食べたいです	食べたい。	Am wana jikigan doof.
Does she want to eat?	zap2 hia1 iam1 ku yn2?	彼心口物乎？	Tā xiǎng chī fàn ma?	她想吃饭吗？	彼.心.口物.乎	wav	falira.lyjotafis		あの人は食事をしたいのでしょうか？	彼女は食べたいですか？	Kas wana jiki?
What happened?	nan2 aim2?	何在？	zěnme le?	怎么了？	何.在5	wav	falira.lyjotafis		どうされたのですか？	どうしたの？	Heinna'm?
What has happened to her?	nan2 aim2 zap2?	何在彼？	Tā zěnmele?	她怎么了？	何.在7.彼	wav, oga	falira.lyjotafis		あの人に何があったのですか？	彼女はどうしたの？	Di kas heinna'm?
Listen to him.	lua1 can2 zap2.	耳識彼。	Tīng tā shuō.	听他说。	耳識.彼	wav	falira.lyjotafis		あの人の言うことを聞きなさい	彼の言うことを聞きなさい。	Rom pu di kar.
Are you listening to me?	mua2 aim2 lua1 can2 pai2 yn2?	汝在耳識我乎？	nǐ zài tīng wǒ shuō ma?	你在听我说吗？	汝.在.耳識.我.乎	wav	falira.lyjotafis		私の話を聞いてますか？	聞いてる？	Aam di am romdis?
How are you lately?	cei2 ka1 kia1 em nan2?	周此日如何？	Zuìjìn zěnmeyàng a?	最近怎么样啊？	周.此日.如.何	wav	falira.lyjotafis		最近ご調子はどうですか？	最近はどうでしたか？	Aam en pher yanbadis syan?
You've been good lately?	cei2 ka1 kia1 mok1 kait yn2?	周此日行善乎？	Zuìjìn hǎo ma?	最近好吗？	周.此日.行善.乎	wav	falira.lyjotafis		最近の調子はよいですか？	調子はどうだい？	Aam en pher raz je?
How do you feel?	mua2 hia1 sak2 em nan2?	汝心来如何？	Nǐ juéde zěnmeyàng?	你觉得怎么样？	汝.心来.如.何	wav	falira.lyjotafis		どんな気分ですか？	どう思いますか？	Aam weriiodis syan?
I think your work is ok.	pai2 hia1 mua2 naip2 uo1 kait.	我心汝労件善。	wǒ juéde nǐ de gōngzuò kěyǐ.	我觉得你的工作可以。	我.心2.汝2.労件.善	wav, oga	falira.lyjotafis		あなたの仕事は良いと思います	あなたの仕事は大丈夫だと思います。	Am imie h'aamn gyaktar je raz.
I want to take a look.	pai2 hia1 mok1 ta1.	我心行目。	wǒ xiǎng kànkan.	我想看看。	我.心.行目	wav, oga	falira.lyjotafis		見てみたいです	見たい。	Am wana kenso.
He can't do it.	zap2 mun1 py zau.	彼無力為。	Tā bù huì zuò.	他不会做。	彼.無.力.為	wav, oga	falira.lyjotafis		あの人にはこれはできません	彼はそれをしません。	Kar ankyanpa yanba.
The students don't listen to me.	nui2 cuk2 mun1 lua1 can2 pai2.	学人無耳識我。	Xuésheng bù tīng wǒ shuō.	学生不听我说。	学人.無.耳識.我	wav, oga	falira.lyjotafis		生徒たちは私の話を聞きません	生徒たちは私の言うことを聞かない。	Haksamtue an rom di am.
I love you.	pai2 hia1 mua2.	我心汝。	Wǒ ài nǐ.	我爱你。	我.心3.汝	wav, oga	falira.lyjotafis		あなたのことが好きです	愛してます。	Am syerii aarm.
He does not like his work.	zap2 mun1 hia1 kait zap2 a naip2.	彼無心善彼之労。	Tā bù xǐhuan tā de gōngzuò.	他不喜欢他的工作。	彼.無.心善.彼.之.労2	wav, oga	falira.lyjotafis		あの人は自分の仕事を気に入ってません	彼は自分の仕事が好きではありません。	Kar an sukku amnun gyaktar.
Do you like your work?	mua2 hia1 kait mua2 a naip2 yn2?	汝心善汝之労乎？	Nǐ xǐhuan nǐ de gōngzuò ma?	你喜欢你的工作吗？	汝.心善.汝.之.労2.乎	wav, oga	falira.lyjotafis		自分の仕事が好きですか？	あなたの仕事が好きですか？	Aamn gyaktaree sukku?
I like the Ai'ren Republic.	pai2 hia1 kait ai2 sip1.	我心善冠国。	Wǒ xǐhuan Guānguó.	我喜欢冠国。	我.心善.冠国	wav, oga	falira.lyjotafis		アイル共和国が好きです	クラウンキングダムが好きです。	Am sukku Toktanaara fo Air.
Is the Ai'ren Republic big?	ai2 sip1 ma1 yn2?	冠国大乎？	Guānguó dà ma?	冠国大吗？	冠国.大.乎	wav, oga	falira.lyjotafis		アイル共和国は大きな国ですか？	関国は大きいですか？	Toktanaara fo Air dekan je?
The Ai'ren Republic is not big.	ai2 sip1 mun1 ma1.	冠国無大。	Guānguó bù dà.	冠国不大。	冠国.無.大	wav, oga	falira.lyjotafis		アイル共和国は大きな国ではありません	王冠の国は大きくありません。	Toktanaara fo Air an je dekan.
He's a Vefisaitē.	zap2 uep1 cuk2.	彼淮人。	Tā shì Huáiguó rén.	他是淮国人。	彼.∅.淮人	wav, oga	falira.lyjotafis		あの人はヴェフィス人です	彼は淮国出身です。	Kar je waiphisnar.
I am a Vefisaitē.	pai2 uep1 cuk2.	我淮人。	Wǒ shì Huáiguórén.	我是淮国人。	我.∅.淮人	wav, oga	falira.lyjotafis		私はヴェフィス人です	私は淮国出身です。	Am je waiphisnar.
He likes the Vefisait Republic.	zap2 hia1 kait uep1 sip1.	彼心善淮国。	Tā hěn xǐhuan Huáiguó.	他很喜欢淮国。	彼.心善.淮国	wav, oga	falira.lyjotafis		あの人はヴェフィス共和国が好きです	彼は淮州がとても好きです。	Kar sukku Toktanaara fo Waiphis.
Is the Vefisait Republic big?	uep1 sip1 ma1 yn2?	淮国大乎？	Huáiguó dà ma?	淮国大吗？	淮国.大.乎	wav, oga	falira.lyjotafis		ヴェフィス共和国は大きな国ですか？	淮国は大きいですか？	Toktanaara fo Waiphis dekan je?
Who is he?	zap2 nan2 cuk2?	彼何人？	Tā shì shéi?	他是谁？	彼.何2.人	wav, oga	falira.lyjotafis		あの人はどなたですか？	彼は誰ですか？	Kar je'r?
Who is your student?	nan2 mua2 a nui2 cuk2?	何汝之学人？	Shéi shì nǐ de xuésheng?	谁是你的学生？	何3.∅.汝.之.学人	wav, oga	falira.lyjotafis		どなたがあなたの生徒なのですか？	あなたの生徒は誰ですか?	Aamn haksam je'r?
How do I get to Makati?	pai2 em nan2 mok1 syt2 tun2?	我如何行天神？	Wǒ zěnme qù Tiānshén?	我怎么去天神？	我.如2.何.行.天神	wav, oga	falira.lyjotafis		マカティにはどうすれば行けますか？	デミまではどうやって行けますか？	Am di Makati teggen syan?
She will go to Makati.	zap2 mok1 mok1 syt2 tun2.	彼行行天神。	Tā yào qù Tiānshén.	她要去天神。	彼.行2.行.天神	wav, oga	falira.lyjotafis		あの人はマカティに行くつもりです	彼女は神々のところへ行くつもりです。	Kas teggengan di Makati.
Are you of the Ai'ren Republic?	mua2 ai2 cuk2 yn2?	汝冠人乎？	Nín shì Guānguórén ma?	您是冠国人吗？	汝.∅.冠人.乎	wav, oga	falira.lyjotafis		あなたはアイル共和国の国民ですか？	広州出身ですか？	Aam narro fo Toktanaara fo Air je?
I'm going to Makati.	pai2 mok1 mok1 syt2 tun2.	我行行天神。	Wǒ yào qù Tiānshén.	我要去天神。	我.行2.行.天神	wav, oga	falira.lyjotafis		マカティに行きます	デミゴッドに行きます。	Am ikaphupdis di Makati.
Would you like to go to Makati?	mua2 hia1 mok1 syt2 tun2?	汝心行天神？	Nǐ xiǎng qù Tiānshén ma?	你想去天神吗？	汝.心.行.天神	wav, oga	falira.lyjotafis		マカティに行かれるおつもりですか？	デミに行きたいですか？	Aam di Makati wana ikaphupgan?
This is the Vefisait Republic.	ka1 hue uep1 sip1.	此処淮国。	zhèlǐ shì Huáiguó.	这里是淮国。	此処.∅.淮国	wav, oga	falira.lyjotafis		これはヴェフィス共和国です	ここは淮州です。	Dim je Toktanaara fo Waiphis.
Where am I? (literally "Where is here?")	ka1 hue nan2 hue?	此処何処？	zhèlǐ shì nǎli a?	这里是哪里啊？	此処.∅.何処	wav, oga	falira.lyjotafis		ここはどこですか？	ここはどこですか？	Dii je wee?
This is my home.	ka1 pai2 mut2.	此我家。	Zhè shì wǒ jiā.	这是我家。	此.∅.我2.家	wav, oga	falira.lyjotafis		これは私の家です	これが私の家です。	Dim je amn friitaa.
Makati is a big place.	syt2 tun2 ma1 hue.	天神大処。	Tiānshén shì gè dà de dìfang.	天神是个大的地方。	天神.∅.大処	wav, oga	falira.lyjotafis		マカティは大きな場所です	デミは大きな場所です。	Makati je dekan eebe.
I'm from the Vefisait Republic.	pai2 sak2 uep1 sip1.	我来淮国。	Wǒ cóng Huáiguó lái.	我从淮国来。	我.来.淮国	oga, wav	falira.lyjotafis		ヴェフィス共和国から来ました	淮国から来ました。	Am je adi Toktanaara fo Waiphis.
I want to know who has come.	pai2 hia1 can2 nan2 cuk2 sak2.	我心識何人来。	wǒ xiǎng zhīdào shéi lái le.	我想知道谁来了。	我.心.識2.何2.人.来2	oga, wav	jekto.vatimeliju		どなかが来られたのか知りたいです	誰が来るのか知りたいです。	Am wana je naa he goodisna'r.
When will you come to the Ai'ren Republic?	mua2 nan2 kak sak2 ai2 sip1?	汝何時来冠国？	Nǐ shénme shíhòu lái Guānguó?	你什么时候来冠国？	汝.何時.来3.冠国	oga, wav	jekto.vatimeliju		いつアイル共和国にいらっしゃるおつもりですか？	いつ広国に来ますか？	Aam di Toktanaara fo Air goodisgan jimka ven?
The student has not come.	nui2 cuk2 mun1 sak2 ta.	学人無来終。	Xuésheng méi lái.	学生没来。	学人.無.来2.終	oga, wav	jekto.vatimeliju		その生徒は来ませんでした	その学生は来ませんでした。	Haksamtue an goodisna.
What do you want to do today?	ka1 kia1 mua2 hia1 zau nan2?	此日汝心為何？	Nǐ jīntiān xiǎng zuò shénme?	你今天想做什么？	此日.汝.心.為.何	oga, wav	jekto.vatimeliju		今日は何をなさるおつもりですか？	今日は何をしたいですか？	Aam namzuu wana yanba'm?
Are you going to come today?	ka1 kia1 mua2 sak2 yn2?	此日汝来乎？	Nǐ jīntiān huì lái ma?	你今天会来吗？	此日.汝.来2.乎	oga, wav	jekto.vatimeliju		今日いらっしゃいますか？	今日来ますか？	Aam namzuu goodisgan?
What would he like to do today?	ka1 kia1 zap2 hia1 zau nan2?	此日彼心為何？	Tā jīntiān xiǎng zuò shénme?	他今天想做什么？	此日.彼.心.為.何	oga, wav	jekto.vatimeliju		あの人は今日何をするつもりなのですか？	彼は今日何をしたいのですか?	Kar namzuu wana yanbagan'm?
What did you guys do today?	ka1 kia1 mua2 ge zau ta nan2?	此日汝等為終何？	Nǐmen jīntiān zuòle shénme?	你们今天做了什么？	此日.汝等.為.終.何					今日は何をしましたか？	
Did you understand?	mua2 can2 sak2 yn2?	汝識来乎？	Nǐ tīng dǒng le ma?	你听懂了吗？	汝.識来.乎	oga, wav	jekto.vatimeliju		わかりましたか？	わかりますか？	Aam nestenorna?
I understand.	pai2 can2 sak2.	我識来。	Wǒ dǒng le.	我懂了。	我.識来	oga, wav	jekto.vatimeliju		わかりました	わかりました。	Am nestenorna.
I heard and understood.	pai2 lua1 ua can2 sak2.	我耳而識来。	Wǒ tīng dǒng le.	我听懂了。	我.耳.而.識来	oga, wav	jekto.vatimeliju		私は聞いて理解しました	分かりました。	Am romna mo nestenorna.
He is my friend.	zap2 pai2 a hi1.	彼我之友。	Tā shì wǒ de péngyou.	他是我的朋友。	彼.∅.我.之.友	oga, wav	falira.lyjotafis		あの人は私の友人です	彼は私の友人である。	Kar je amn rendof.
I like your friend very much.	pai2 kit hia1 kait mua2 hi1.	我極心善汝友。	Wǒ hěn xǐhuan nǐ de péngyou.	我很喜欢你的朋友。	我.極.心善.汝2.友	oga, wav	jekto.vatimeliju		私はあなたの友人がとても好きです	私はあなたの友人がとても好きです。	Am sukku aamn rendof raz.
My friend did not come.	pai2 hi1 mun1 sak2 ta.	我友無来終。	Wǒ de péngyou méi lái.	我的朋友没来。	我2.友.無.来2.終	oga, wav	jekto.vatimeliju		私の友人は来ませんでした	私の友達は来ませんでした。	Amn rendof an goodistei.
Do you like my friend?	mua2 hia1 kait pai2 hi1 yn2?	汝心善我友乎？	Nǐ xǐhuan wǒ péngyou ma?	你喜欢我朋友吗？	汝.心善.我2.友.乎	oga, wav	falira.lyjotafis		あなたは私の友人を好きですか？	私の友達は好きですか？	Aam aamn rendofree sukku?
What does your friend want to do?	mua2 hi1 hia1 zau nan2?	汝友心為何？	Nǐ péngyǒu xiǎng zuò shénme?	你朋友想做什么？	汝2.友.心.為.何	oga, wav	jekto.vatimeliju		あなたの友人は何をしたいですか？	あなたの友達は何がしたいのですか？	Aamn rendof wana yanbagan'm?
They are my friends.	zap2 ge pai2 a hi1.	彼等我之友。	Tāmen dōu shì wǒ de péngyou.	他们都是我的朋友。	彼等.∅.我.之.友	oga, wav	falira.lyjotafis		あの人たちは私の友人です	彼らは皆私の友達です。	Bwins je amn rendoftue.
We're friends.	pai2 ge hi1.	我等友。	Wǒmen shì péngyou.	我们是朋友。	我等.∅.友	oga, wav	falira.lyjotafis		私たちは友人です	私たちは友達。	Aamz je rendoftue.
I don't understand what he's saying.	pai2 mun1 can2 zap2 zep1.	我無識彼言。	Wǒ tīng bù dǒng tā shuō de huà.	我听不懂他说的话。	我.無.識#言.彼.識!言	oga, wav	jekto.vatimeliju		私はあの人の言うことがわかりません	彼が何を言ったか理解できませんでした。	Am an nestenor he kar ehodis'm.
